Sample	Sample Name	SampleType	OriginalConc	CT1	CT2	CT3	Average
100	1:50, replicate #10	Sample		25.988274	27.477068	27.339163	26.934835
101	1:60, replicate #9	Sample		26.56805	26.665426	27.6936	26.975692
102	1:60, replicate #10	Sample		27.875643	28.732414	28.784391	28.4641493333
103	1:80, replicate #9	Sample		26.96248	27.910393	27.88381	27.585561
104	1:80, replicate #10	Sample		25.902279	27.586525	28.017033	27.1686123333
105	1:100, replicate #9	Sample		28.065601	27.789412	29.581154	28.4787223333
106	1:100, replicate #10	Sample		27.58553	26.936932	28.60687	27.7097773333
107	1:500, replicate #9	Sample		29.571321	28.761866	30.552555	29.6285806667
108	1:500, replicate #10	Sample		29.869595	29.608833	30.592619	30.0236823333
109	1:1000, replicate #9	Sample		29.894396	30.98449	31.641367	30.8400843333
110	1:1000, replicate #10	Sample		30.836761	31.325037	32.522633	31.561477
